1568905073129000000;-0.038147;-0.17453;-0.102051
1568905073134000000;0.0228882;0.00857544;0.0200195
1568905073139000000;0.144958;0.130646;0.0810547
1568905073145000000;0.0228882;0.00857544;0.0200195
1568905073150000000;0.0228882;-0.0524597;0.0200195
1568905073155000000;0.0228882;-0.0524597;-0.0410156
1568905073160000000;0.0228882;0.00857544;-0.0410156
1568905073165000000;0.0228882;0.00857544;-0.0410156
1568905073170000000;-0.038147;-0.0524597;0.0810547
1568905073176000000;-0.160217;-0.17453;0.0200195
1568905073181000000;-0.038147;-0.0524597;-0.102051
1568905073186000000;-0.038147;-0.0524597;0.0200195
1568905073191000000;-0.0991821;-0.357635;-0.0410156
1568905073196000000;-0.465393;-0.540741;0.203125
1568905073201000000;-0.404358;-0.784882;0.630371
1568905073206000000;-0.404358;-0.784882;0.630371
1568905073212000000;-0.587463;-0.967987;0.508301
1568905073217000000;0.0228882;-1.15109;0.447266
1568905073222000000;0.144958;-1.3342;0.447266
1568905073227000000;1.18256;-1.21213;0.14209
1568905073232000000;1.6098;-1.09006;-0.0410156
1568905073237000000;1.6098;-1.09006;-0.0410156
1568905073243000000;2.40326;-0.723846;-0.346191
1568905073248000000;2.6474;-0.357635;-0.285156
1568905073253000000;2.89154;-0.17453;-0.529297
1568905073258000000;3.62396;0.191681;-0.529297
1568905073263000000;4.17328;0.435822;-0.529297
1568905073268000000;4.47845;0.802032;-0.590332
1568905073274000000;4.78363;1.10721;-0.590332
1568905073279000000;5.21088;1.47342;-0.773438
1568905073284000000;5.33295;1.83963;-0.956543
1568905073289000000;5.9433;2.14481;-0.956543
1568905073294000000;6.43158;2.44998;-1.13965
1568905073299000000;7.164;2.57205;-1.44482
1568905073304000000;8.2016;3.06033;-1.87207
1568905073310000000;8.44574;3.1824;-1.75
1568905073315000000;9.48334;3.12137;-1.50586
1568905073320000000;10.3378;3.48758;-1.38379
1568905073325000000;11.3754;3.36551;-1.38379
1568905073330000000;11.7416;3.36551;-1.07861
1568905073335000000;11.6806;2.87723;-0.956543
1568905073340000000;12.291;2.63309;-0.651367
1568905073346000000;12.5961;2.14481;-0.407227
1568905073351000000;12.291;1.59549;0.0810547
1568905073356000000;11.6196;0.863068;0.38623
1568905073361000000;10.5209;-0.357635;0.38623
1568905073366000000;10.5209;-0.967987;0.569336
1568905073371000000;10.4599;-1.21213;0.508301
1568905073377000000;10.1547;-1.63937;0.569336
1568905073382000000;10.1547;-1.63937;0.569336
1568905073387000000;11.3144;-0.967987;-0.224121
1568905073392000000;13.4506;-0.479706;-0.590332
1568905073397000000;18.4555;0.374786;-1.01758
1568905073402000000;20.6528;1.53445;-1.13965
1568905073408000000;20.1035;1.41238;-1.56689
1568905073413000000;23.2162;2.02274;-1.62793
1568905073418000000;26.329;2.75516;-0.651367
1568905073423000000;27.8549;2.38895;-0.529297
1568905073428000000;29.8691;2.38895;-0.712402
1568905073433000000;32.9819;2.08377;-0.895508
1568905073439000000;34.2026;1.65652;-0.285156
1568905073444000000;34.6909;0.679962;-0.102051
1568905073449000000;34.7519;-0.0524597;-0.773438
1568905073454000000;33.0429;-0.845917;-0.956543
