1568734041340000000;0.00581776;0;0;0.00872665;0.014;-0.003;-0.013;0.012
1568734041359000000;0.0261799;0.0232711;0.0290888;0.0349066;-0.465;0.454;0.445;-0.521
1568734041379000000;0.20944;0.200713;0.206531;0.20944;-0.596;0.451;0.571;-0.662
1568734041399000000;0.28507;0.424697;0.407243;0.334521;-2.705;1.201;1.45;-1.97
1568734041419000000;0.471239;0.564323;0.526508;0.491601;-3.621;2.697;3.104;-3.211
1568734041439000000;0.628319;0.663225;0.660316;0.631227;-5.761;4.713;4.607;-5.657
1568734041459000000;0.855211;0.808669;0.843576;0.826123;-7.416;6.445;6.372;-7.239
1568734041479000000;1.17228;1.05883;1.10828;1.12574;-8.931;8.153;8.045;-8.675
1568734041499000000;1.53589;1.36136;1.48062;1.50098;-10.255;9.645;9.093;-9.653
1568734041520000000;1.99258;1.77733;1.9635;2.0624;-11.293;10.956;9.592;-9.471
1568734041540000000;2.49291;2.25729;2.54818;2.76053;-10.881;11.632;9.58;-9.139
1568734041560000000;3.05142;2.86525;3.32485;3.39467;-11.505;11.702;7.713;-7.91
1568734041580000000;3.57502;3.43539;4.05498;3.92117;-10.871;11.329;6.911;-7.709
1568734041600000000;4.19461;4.09571;4.4535;4.33714;-9.975;9.888;7.122;-7.706
1568734041620000000;4.72984;4.65712;4.73566;4.71821;-9.48;10.35;7.317;-7.573
1568734041640000000;5.18072;5.02073;5.16327;5.13709;-8.883;10.158;6.187;-7.325
1568734041660000000;5.61123;5.52106;5.55887;5.61123;-8.197;8.745;6.245;-5.812
1568734041680000000;6.0272;6.04175;5.92539;6.03593;-7.523;8.807;6.149;-5.654
1568734041701000000;6.49844;6.37045;6.36173;6.43736;-6.766;8.185;5.571;-5.024
1568734041720000000;6.80969;6.7777;6.76024;6.76897;-6.519;7.802;4.696;-4.875
1568734041741000000;7.13549;7.17621;7.19076;7.1384;-6.486;7.43;4.366;-4.4
1568734041761000000;7.43801;7.534;7.50201;7.48746;-6.069;7.311;4.285;-4.336
1568734041781000000;7.85689;7.85398;7.78999;7.85689;-5.534;7.007;4.437;-4.135
1568734041801000000;8.2205;8.17396;8.15651;8.20305;-5.349;6.961;4.754;-4.06
1568734041821000000;8.52884;8.51721;8.49103;8.4823;-5.288;6.856;4.279;-4.529
1568734041841000000;8.88663;8.89536;8.88954;8.78191;-4.752;6.871;3.864;-4.653
1568734041862000000;9.17461;9.2997;9.2037;9.11644;-6.251;6.229;4.654;-4.805
1568734041882000000;9.25897;9.62549;9.35206;9.27933;-6.254;4.234;4.893;-5.766
1568734041902000000;9.96001;10.056;9.66621;9.78839;-2.448;4.325;3.727;-2.633
1568734041922000000;9.87275;10.0676;9.84366;9.9542;-4.523;3.628;3.78;-3.838
1568734041942000000;10.0124;10.0793;9.92511;9.99492;-3.025;3.169;3.304;-2.756
1568734041962000000;10.1229;10.1404;10.0502;10.12;-1.94;2.538;2.424;-1.686
1568734041982000000;10.184;10.1869;10.1142;10.1375;-1.297;2.243;1.917;-1.304
1568734042002000000;10.1898;10.2393;10.1433;10.1753;-0.671;0.848;1.389;-0.528
1568734042022000000;10.1724;10.2684;10.2305;10.1985;-0.501;0.267;0.314;-0.125
1568734042043000000;10.152;10.2334;10.1695;10.1316;-0.099;0.073;0.387;-0.071
1568734042062000000;10.0705;10.1171;10.1229;10.056;-0.001;0.222;0.033;0.122
1568734042082000000;10.0356;10.0211;10.0444;10.0182;0.186;0.026;0.024;0.35
1568734042103000000;9.98037;9.96292;9.98619;9.9891;0.493;0.025;-0.112;0.477
1568734042122000000;9.9571;9.98037;9.98328;9.94547;0.457;-0.564;-0.304;0.376
1568734042143000000;9.91638;10.0095;9.88438;9.86111;0.532;-0.787;0.152;0.146
1568734042163000000;9.86984;9.95129;9.86111;9.8582;0.228;-0.729;-0.077;0.238
1568734042183000000;9.85529;9.90765;9.84947;9.78839;0.362;-0.366;0.054;-0.269
1568734042203000000;9.78548;9.83784;9.83202;9.76803;-0.206;-0.291;0.26;-0.305
1568734042223000000;9.7593;9.7913;9.82329;9.77966;-0.286;-0.058;0.151;-0.223
1568734042243000000;9.78257;9.72148;9.81748;9.7273;-0.123;0.366;0.129;-0.839
1568734042264000000;9.80002;9.73021;9.81457;9.6924;-0.165;0.236;0.212;-1.129
1568734042283000000;9.78548;9.74766;9.81457;9.67203;-0.592;0.47;0.281;-1.607
1568734042304000000;9.74475;9.74766;9.80584;9.64003;-0.826;0.841;0.4;-1.904
1568734042323000000;9.76512;9.64294;9.78839;9.66331;-0.917;1.708;0.577;-2.086
1568734042344000000;9.75057;9.59058;9.73603;9.6924;-1.174;1.808;1.19;-2.581
1568734042364000000;9.78548;9.61386;9.71567;9.75348;-1.765;2.834;1.811;-2.772
1568734042384000000;9.93965;9.79712;9.92801;9.91347;-2.404;3.667;1.936;-3.631
1568734042404000000;10.0793;10.0007;10.0589;10.0967;-3.936;4.659;3.714;-4.744
1568734042424000000;10.3149;10.2567;10.2305;10.344;-4.314;5.665;4.883;-5.389
1568734042444000000;10.6145;10.5825;10.5534;10.7105;-5.807;6.148;5.084;-6.528
1568734042464000000;10.9985;10.8879;11.0363;10.9956;-6.179;7.526;5.649;-7.513
1568734042484000000;11.4697;11.3621;11.3446;11.3883;-7.5;7.457;6.898;-7.135
1568734042505000000;11.6181;11.9933;11.9642;11.8566;-7.437;4.409;6.852;-7.991
1568734042525000000;12.9445;12.8398;12.2406;12.9009;-2.121;6.206;7.009;-3.389
1568734042544000000;12.7758;12.7991;12.7002;12.9416;-8.35;7.494;7.425;-8.517
1568734042565000000;12.9794;12.9765;12.9183;13.0609;-8.339;8.482;8.663;-7.639
1568734042585000000;13.311;13.4216;13.7154;13.7474;-8.574;7.22;5.188;-5.907
1568734042605000000;14.1546;14.4804;14.239;14.4164;-6.625;5.734;6.211;-4.285
1568734042625000000;14.2972;14.2215;14.2564;14.4426;-7.497;8.409;8.145;-6.87
1568734042646000000;14.4659;14.3321;14.4921;14.6404;-7.164;7.804;6.828;-5.05
1568734042665000000;14.7917;14.6608;14.8644;14.8993;-5.539;5.886;4.053;-3.304
1568734042686000000;15.0506;15.0942;15.8534;15.6207;-2.895;2.522;-1.079;1.191
1568734042706000000;15.2978;15.1407;16.0105;15.6876;-4.019;5.751;-1.78;0.521
1568734042726000000;15.0418;15.0767;15.6032;15.3007;-2.345;3.241;-1.014;-0.353
1568734042746000000;15.0186;15.0244;15.1495;15.0418;-3.397;4.507;0.26;-0.47
1568734042766000000;15.1989;15.3967;14.9109;14.8702;0.138;0.093;0.243;-0.522
1568734042786000000;15.3153;15.1669;14.8178;14.844;0.115;2.725;0.222;-0.297
1568734042806000000;14.9313;14.8208;14.812;14.8208;-1.85;3.342;-0.023;-0.084
1568734042826000000;14.8993;14.9255;14.7771;14.7597;-1.254;2.881;0.251;-0.852
1568734042847000000;14.8498;14.9022;14.7568;14.7684;-0.7;1.658;0.14;-0.129
1568734042867000000;14.812;14.9778;14.7626;14.812;-1.065;1.154;0.126;-0.017
1568734042887000000;14.8062;14.9313;14.7626;14.8004;-0.964;1.227;0.199;-0.109
1568734042907000000;14.7568;14.812;14.7655;14.7451;-0.478;1.472;0.012;-0.927
